,title,price,score,sold,store
0,"Планшет Android 12 ma11, 128 ГБ, 10,1 дюйма, дешевый ПК 24 + 48 Мп, Google Play, десятиядерный, 8000 мАч, 3G/4G/телефон, Wi-Fi, Нетбук GPS","9 368,42",,,Tablet PC Global Version Store
1,"Планшет X12, 10,1 дюйма, 3G/4G/телефон, Google Play, Android 12, GPS, 128 ГБ, 10 ядер, 8000 мАч, планшет с двумя SIM-картами, 48 МП, MTK6797, горячая Распродажа","9 493,13",,,Global Smart Tablet Online Store
2,"Планшет Ma11 на Android 12, 128 ГБ, 48 МП, Google Play, десятиядерный, 8000 мАч, 3G/4G/телефон с Wi-Fi, нетбук, GPS, экран 10,1 дюйма, ПК, ноутбук","9 368,42",,,Global Smart Tablet Online Store
3,"10,1-дюймовый Планшет M33 на Android 11, десять ядер, 8 ГБ, 10,1 ГБ, 128 мАч, WIFI, 16 + 32 Мп, GPS, MTK X30","10 803,25",,3,FAUST Global Online Store
4,"Планшет Original Pad 5 Pro на android, 11 дюймов, HD 2,5 K, 12 Гб, 512 ГБ","9 082,58","4,8",199,Global android tablet Store
5,"Планшет на Android, 12 шт., 10,1 дюйма, 128 ГБ, Qualcomm 6797, 10 ядер, 8000 мАч","9 331,99",,,Tablet PC Global Version Store
6,"Планшет с 10,1-дюймовым дисплеем, процессором MTK6889, ОЗУ 6 ГБ, ПЗУ 910 ГБ, 128 мАч","6 239,54",,,Global Smart Tablet Online Store
7,"Headwolf HPAD1 Android 11 Octa-Core Tablet 10,4 дюйма 8 ГБ оперативной памяти 128GB ROM Unisoc T618 ТАБЛЕТА","14 011,30",,,Headwolf Official Store
8,"Новинка, Оригинальный планшет, 256 ГБ, Snapdragon 865, HD 4K экран, планшеты Android, ПК, телефон с двумя Sim-картами или Wi-Fi, GPS, Google Play TAB","9 808,40",,8,DONGPAD Official Store
9,"2022 Оригинальный планшет, 5 дюймов, Android, 12 Гб, 512 ГБ, телефон, 10-дюймовый экран, Восьмиядерный процессор Snapdragon 888, две SIM-карты, Android планшеты, ПК","10 507,60","5,0",54,And Original Tablet Store
10,"Новинка 2022, планшет 5 X101 с процессором Snapdragon, Android 10, 11 дюймов, ПК, 6 ГБ ОЗУ, 128 Гб ПЗУ, Bluetooth клавиатура, ноутбук","7 188,16",,,Global Smart Tablet Online Store
11,"Планшет P60, 8600 мАч, Google Play, 10,1-дюймовый планшет, Android 10,1, ПК, 128 ГБ, планшет для учебы, офиса, GPS, ноутбука, Wi-Fi, освещение сети","9 938,71",,,Tablet PC Global Version Store
12,"Планшетный ПК P10, дисплей 10,1 дюйма, Android 12, Google Play, 8 ГБ, 128 ГБ, глобальная версия, ноутбук, десятиядерный, 8000 мАч, две SIM-карты, 24 МП, 48 МП, планшет","9 331,99",,,FAUST Global Online Store
13,"Планшет с 10,1-дюймовым дисплеем, Android 12, 10,1 мАч, 8000 ГБ, GPS, 24 МП, 48 МП","9 331,99",,,FAUST Global Online Store
14,"Планшет, экран 5 дюймов, Snapdragon 888, Android 11, 10 дюймов, 12 Гб, 512 ГБ","10 507,60",,51,NBPlus Tablet Store
15,"DONGPAD Новый Android 11,0 8 ГБ ОЗУ 128 Гб ПЗУ 11,6 дюймов 4k HD экран Snapdragon 845 планшет телефон с двумя SIM-картами или WIFI GPS Google Play","9 808,40",,7,DONGPAD Official Store
16,Headwolf FPAD1/F1 Android 11 планшет 8-дюймовый 3GB RAM 64GB ROM 4G LTE PLANT TANDET PC 800*1280 IPS четырехъядерный 4000MAH 5MP+5MP,"7 605,71",,,Headwolf Official Store
17,"Планшет диагональю 10,1 дюйма, Android 12, GPS, 8 ГБ, 128 ГБ","9 368,42",,,FAUST Global Online Store
18,"Планшет X12 на Android, 128 ГБ, 10 ядер, 8000 мАч, две SIM-карты, 48 МП, MTK6797","9 493,13",,,LUKAS Global Store
19,"Планшет с 10,1-дюймовым дисплеем, восьмиядерным процессором Snapdragon 2022, ОЗУ 12 Гб, ПЗУ 512 ГБ","10 507,60",,38,YYDS Global Tablet Store
20,"Новинка 2022, 10,1-дюймовый Планшет P10, 10,1 ГБ, Qualcomm 128, телефон, планшеты для бизнеса, Android 12, 4G, Интернет, Wi-Fi, телефон","9 331,99",,,LUKAS Global Store
21,"Lenovo Xiaoxin Pad P11 Plus планшет с восьмиядерным процессором Snapdragon 750G, ОЗУ 6 ГБ, ПЗУ 128 ГБ, 11 дюймов","23 377,62",,,Xiaomi-Panda-YC Store
22,"Blackview Tab планшет, экран 8 дюймов, 3 ГБ 32 ГБ, Android 11","7 776,66",,,Tablet PC Global Version Store
23,"Планшет Ma11 на Android 12, 128 ГБ, 48 МП, Google Play, десятиядерный, 8000 мАч, 3G/4G/телефон с Wi-Fi, нетбук, GPS, экран 10,1 дюйма, ПК, ноутбук","9 368,42",,,LUKAS Global Store
24,"Планшет глобальная версия Pad 5 Pro на Android, 12 Гб, 512 ГБ, 11 дюймов, WQHD + дисплей 120 Гц, Snapdragon 870, две SIM-карты, планшетный ПК на Android","10 158,70","5,0",43,GGB Original Tablet Store
25,"5G Notebook X5 Android 12 LTE Pad Pro 2 SIM ноутбук 6 ГБ 128 ГБ дешевый десятиядерный нетбук 8000 мАч GPS 24 Мп + 48 МП 8,1 дюймовый планшет","5 627,22",,1,LUKAS Global Store
